类目,类目内排名,消耗(元),ctr(%),建议文件名,素材URL
3C数码配件,1,95607.32,2.1293,3C数码配件_01_e10d6d43.mp4,http://adsmind.gdtimg.com/ads_svp_video__0bc33ecv4aafe4aexokarrvb7wiel3mqkxsa.f0.mp4
个护健康,1,200443.08,1.7383,个护健康_01_12621ef3.mp4,http://adsmind.gdtimg.com/ads_svp_video__0bc3kqagmaaaoyaftmcl6nvbuvaemzkaazsa.f0.mp4
个护健康,2,170679.77,3.0948,个护健康_02_253d0527.mp4,http://adsmind.gdtimg.com/ads_svp_video__0bc3yqagmaaaqaajzaz6mzvbvraem3caazsa.f0.mp4
个护健康,3,102598.64,2.7472,个护健康_03_bed3ece2.mp4,http://adsmind.gdtimg.com/ads_svp_video__0bc3reamyaaazeajqecqlrvbvciezseqbtca.f0.mp4
个护健康,4,93837.34,1.2001,个护健康_04_74423fa9.mp4,http://adsmind.gdtimg.com/ads_svp_video__0bc3y4aaaaaaleahu62cyfurvryeaddqaaca.f0.mp4
个护健康,5,86961.33,1.2936,个护健康_05_3a2b19f2.mp4,http://adsmind.gdtimg.com/ads_svp_video__0bc3kyaryaab2aakyqsqjrvbwvqedrlachca.f0.mp4
中小型健身器材,1,157026.49,1.3638,中小型健身器材_01_9b816f35.mp4,http://adsmind.gdtimg.com/ads_svp_video__0bc37uaneaaa7magz3krdjvbv7ie2l6qbusa.f0.mp4
中小型健身器材,2,111801.12,1.3034,中小型健身器材_02_0422d15e.mp4,http://adsmind.gdtimg.com/ads_svp_video__0bc3fuafqaaa6aajmiryvbvbulielawqawca.f0.mp4
人文社科,1,94700.86,2.7081,人文社科_01_7f18fdaf.mp4,http://adsmind.gdtimg.com/ads_svp_video__0b53eyaikaaazmapznsl5rvbwjqequtabbka.f0.mp4
休闲食品,1,664831.19,3.8261,休闲食品_01_4a237b6c.mp4,http://adsmind.gdtimg.com/ads_svp_video__0bc3haaiwaaaciaixbsfsfvbuoaerm4abc2a.f0.mp4
休闲食品,2,300525.23,2.3751,休闲食品_02_10809823.mp4,http://adsmind.gdtimg.com/ads_svp_video__0b53feab2aaaxuaiezcdebvbukieduuqahka.f0.mp4
休闲食品,3,292324.18,1.4444,休闲食品_03_de581c12.mp4,http://adsmind.gdtimg.com/ads_svp_video__0b53ueaeaaaa5ialwf22qfvbviieicqqaqca.f0.mp4
休闲食品,4,230378.93,4.1333,休闲食品_04_14812920.mp4,http://adsmind.gdtimg.com/ads_svp_video__0bc3zmameaaarmabw32qanvbvsyeylfqbqsa.f0.mp4
休闲食品,5,206930.13,5.1485,休闲食品_05_e18d488c.mp4,http://adsmind.gdtimg.com/ads_svp_video__0bc3aacp2aaeyaajf5j6wrvb4aae7uaaj7ka.f0.mp4
休闲食品,6,195715.73,4.6171,休闲食品_06_a9fae1da.mp4,http://adsmind.gdtimg.com/ads_svp_video__0b536eazcaaboaad5vczzrvbx4ieshyqdeka.f0.mp4
休闲食品,7,192788.75,2.2663,休闲食品_07_52116cd3.mp4,http://adsmind.gdtimg.com/ads_svp_video__0b53j4ae4aaahqaezrspljvbutyejzhqatsa.f0.mp4
休闲食品,8,186579.5,8.8476,休闲食品_08_e588cf69.mp4,http://adsmind.gdtimg.com/ads_svp_video__0bc3ceaneaaavaagdckqibvbueie2iiqbusa.f0.mp4
休闲食品,9,185497.35,2.6546,休闲食品_09_bca66fba.mp4,http://adsmind.gdtimg.com/ads_svp_video__0b537abrcaad3eam4hzlujvbt6aech4ageka.f0.mp4
休闲食品,10,179606.12,5.961,休闲食品_10_dda6da65.mp4,http://adsmind.gdtimg.com/ads_svp_video__0bc3zmaxuaabzmahg623wnvbxsyeplfqc6sa.f0.mp4
休闲食品,11,176431.37,3.1713,休闲食品_11_754afd4f.mp4,http://adsmind.gdtimg.com/ads_svp_video__0b53nqaegaaahiafwnkjzjvbw3aeinwaaq2a.f0.mp4
休闲食品,12,155985.16,2.6061,休闲食品_12_cbbe3021.mp4,http://adsmind.gdtimg.com/ads_svp_video__0bc35ianuaaabyabaasqujvbv2qe3lvabwsa.f0.mp4
休闲食品,13,146277.28,4.0884,休闲食品_13_7c72df4e.mp4,http://adsmind.gdtimg.com/ads_svp_video__0b53h4ah6aaa34aco6kdnvvbupyep47qa72a.f0.mp4
休闲食品,14,141961.12,2.997,休闲食品_14_ed58e208.mp4,http://adsmind.gdtimg.com/ads_svp_video__0b53siaacaaaoiahftcdkfvbveqeagjaaaka.f0.mp4
休闲食品,15,130660.12,2.8639,休闲食品_15_44d1eca4.mp4,http://adsmind.gdtimg.com/ads_svp_video__0b53byakoaaaduacdzcpn5vbudqeu4habj2a.f0.mp4
休闲食品,16,128064.11,3.3695,休闲食品_16_43fabb41.mp4,http://adsmind.gdtimg.com/ads_svp_video__0bc3x4aauaaapiamrnsdi5vbvpyebk7qacsa.f0.mp4
休闲食品,17,121009.96,3.0275,休闲食品_17_15c1b4ef.mp4,http://adsmind.gdtimg.com/ads_svp_video__0b53ciammaaa7yal4lynafvbueqeyyjabrsa.f0.mp4
休闲食品,18,120526.94,4.0096,休闲食品_18_4618c082.mp4,http://adsmind.gdtimg.com/ads_svp_video__0b53faaaiaaa6iabpsz5bfvbukaeaquaabca.f0.mp4
休闲食品,19,116503.62,3.1325,休闲食品_19_89c0d052.mp4,http://adsmind.gdtimg.com/ads_svp_video__0b537mao4aaa7yamepkspbvbv6ye535qb3sa.f0.mp4
休闲食品,20,113382.0,2.9818,休闲食品_20_0eb65fc0.mp4,http://adsmind.gdtimg.com/ads_svp_video__0bc3k4agiaaaqmagnjkptfvbuvyemrlqazca.f0.mp4
传统滋补品,1,376442.65,6.0064,传统滋补品_01_12cefd30.mp4,http://adsmind.gdtimg.com/ads_svp_video__0bc3c4aagaaafyaovj7jwjurufyeamlqaa2a.f0.mp4
传统滋补品,2,356482.33,5.6754,传统滋补品_02_84d2d58c.mp4,http://adsmind.gdtimg.com/ads_svp_video__0bc37eabuaaa4iaa64gwcnurv6iedl4qagsa.f0.mp4
传统滋补品,3,323293.25,4.1863,传统滋补品_03_d5e5d6d9.mp4,http://adsmind.gdtimg.com/ads_svp_video__0b53seagmaaao4an34zlvjvbveiem2iqazsa.f0.mp4
